audio,labeled_text
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/19921/chunk_in_1.wav,mình đang đi làm
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/19921/chunk_in_3.wav,mưa em có giao đâu đấy đấy
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/19921/chunk_in_5.wav,trong nhà máy ấy ừ anh có để xe ô tô trong đấy mà
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/19921/chunk_in_6.wav,không nhà mười một tầng ý
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/19921/chunk_out_1.wav,anh có cái đơn hàng bếp ấy
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/19921/chunk_out_2.wav,anh hôm nay có nhà không
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/19921/chunk_out_3.wav,làm đâu đấy ạ
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/19921/chunk_out_6.wav,thế thì em chuyển về nhà máy em giao nhá
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/19921/chunk_out_8.wav,anh lấy ở chỗ nào nhà mày đấy
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/19983/chunk_in_1.wav,chị ơi em bảo một tẹo nữa em gọi lại 
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/19983/chunk_out_0.wav,thấy chỗ nào từ thông đấy
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/19995/chunk_in_2.wav,bây giờ anh lại đang không ở nhà anh đang trong trường rồi
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/19995/chunk_in_3.wav,cái trường tiểu học Trần Phú ý
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/19995/chunk_in_4.wav,em giao cái áo rét phải không
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/19995/chunk_out_1.wav,em nhận anh ơi đơn hàng mình ở chỗ nào tổ mười ba đấy
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/19995/chunk_out_2.wav,em giao hàng nhà mình ở chỗ nào tổ mười ba đấy
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/19995/chunk_out_3.wav,trường nào đấy
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/19995/chunk_out_5.wav,vâng em cầm lên cổng trường được không
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20007/chunk_in_1.wav,anh ở trong tiểu học đấy nhá
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20007/chunk_out_1.wav,em đang ở trường tiểu học Trần Phú đây
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20008/chunk_in_1.wav,ờ anh ở trường tiểu học Trần Phú trong nhà máy cơ mà
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20008/chunk_in_2.wav,à rồi ô kê em ừ ừ
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20008/chunk_out_1.wav,anh ở tiểu học trần phú rồi trong nhà máy ạ
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20008/chunk_out_2.wav,thế thì để em chuyển cho thằng kia nó chuyển vào trong 
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20014/chunk_in_1.wav,cái gì đấy đơn gì đấy
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20014/chunk_in_2.wav,cần cho cô nhá
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20014/chunk_in_3.wav,rồi cô đi lấy hàng rồi ừ
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20014/chunk_out_1.wav,hàng của cô là
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20014/chunk_out_2.wav,hình như là đồ lót hay sao
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20020/chunk_in_4.wav,em em ơi chị đang ở
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20020/chunk_out_0.wav,không có à anh
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20020/chunk_out_1.wav,à vâng vâng vâng
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20020/chunk_out_2.wav,chắc là bên trường ạ em cảm ơn alo chị ơi em gọi giao hàng ạ
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20020/chunk_out_3.wav,à đơn hàng à mỹ phẩm của bên múi xù gửi cho chị chị ạ
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20020/chunk_out_4.wav,em đang đứng ở chỗ trường à trung học giáp bát trung học cơ sở giáp bát đấy chị
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20020/chunk_out_7.wav,cảm ơn anh
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20021/chunk_in_1.wav,cô ở chỗ
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20021/chunk_in_2.wav,cột điện ba lăm ý ngõ ngõ mười ba ý
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20021/chunk_out_0.wav,cháu giao hàng nhìn mình ở chỗ nào tổ mười năm đấy
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20021/chunk_out_1.wav,xuân à
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20021/chunk_out_2.wav,cô là cô xuân à cô là cô xuân à
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20032/chunk_out_2.wav,em gọi giao em gọi giao đơn hàng gửi cho anh ạ
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20032/chunk_out_3.wav,ở quán điện thoại ạ đây đây em đây
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20049/chunk_out_2.wav,gọi giao hàng bác ạ
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20049/chunk_out_3.wav,vâng vâng chào đến nhá bác rồi bác xuống lấy cho cháu với ạ
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20049/chunk_out_4.wav,vâng vâng ạ vâng ạ
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20057/chunk_out_2.wav,địt mẹ cái tội liếm sâu địt con mẹ cho chết mẹ đi
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20059/chunk_out_1.wav,cái gì ấy nhở
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20102/chunk_in_1.wav,ờ đằng sau ủy ban này
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20102/chunk_in_2.wav,cái nhà có cái cây mít đấy
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20141/chunk_in_1.wav,có cái hàng gì nhở
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20141/chunk_in_2.wav,phải trả tiền không
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20141/chunk_in_4.wav,được hôm nay anh lại đang đi tỉnh anh chưa về
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20141/chunk_in_5.wav,mai nhá
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20141/chunk_in_6.wav,chiều bốn giờ
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20141/chunk_in_7.wav,khoảng bốn giờ
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20141/chunk_out_1.wav,ơi em gọi để giao đơn hàng gửi cho anh ạ
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20141/chunk_out_2.wav,quác a đi đát gêm đây
/home/jovyan/ai-core/speech_to_text/data/ghtk/voice_daily/month_12/day_09/voice_split/20141/chunk_out_4.wav,à thế hả anh mai sáng hai chiều anh nhận để em qua
